date;municipality_id;municipality_name;municipality_population;vaccination_1;vaccination_2;vaccination_3;vaccination_4+
2023-03-23T23:59:59+01:00;10101;Eisenstadt;15485;12118;11861;9744;3592
2023-03-23T23:59:59+01:00;10201;Rust;2008;1606;1581;1338;498
2023-03-23T23:59:59+01:00;10301;Breitenbrunn am Neusiedler See;1922;1538;1518;1308;579
2023-03-23T23:59:59+01:00;10302;Donnerskirchen;1854;1524;1506;1300;492
2023-03-23T23:59:59+01:00;10303;Großhöflein;2099;1760;1732;1425;429
2023-03-23T23:59:59+01:00;10304;Hornstein;3245;2596;2552;2136;783
2023-03-23T23:59:59+01:00;10305;Klingenbach;1289;898;876;733;238
2023-03-23T23:59:59+01:00;10306;Leithaprodersdorf;1209;1056;1039;871;269
2023-03-23T23:59:59+01:00;10307;Mörbisch am See;2210;1859;1832;1550;718
2023-03-23T23:59:59+01:00;10308;Müllendorf;1420;1188;1173;969;378
2023-03-23T23:59:59+01:00;10309;Neufeld an der Leitha;3641;2834;2780;2289;764
2023-03-23T23:59:59+01:00;10310;Oggau am Neusiedler See;1726;1473;1458;1265;552
2023-03-23T23:59:59+01:00;10311;Oslip;1309;1096;1089;933;342
2023-03-23T23:59:59+01:00;10312;Purbach am Neusiedler See;2993;2432;2384;2030;734
2023-03-23T23:59:59+01:00;10313;Sankt Margarethen im Burgenland;2701;2256;2228;1930;749
2023-03-23T23:59:59+01:00;10314;Schützen am Gebirge;1435;1182;1164;965;387
2023-03-23T23:59:59+01:00;10315;Siegendorf;3243;2520;2473;2036;673
2023-03-23T23:59:59+01:00;10316;Steinbrunn;3037;2378;2340;1898;664
2023-03-23T23:59:59+01:00;10317;Trausdorf an der Wulka;2109;1808;1782;1525;501
2023-03-23T23:59:59+01:00;10318;Wimpassing an der Leitha;1723;1272;1249;1017;297
2023-03-23T23:59:59+01:00;10319;Wulkaprodersdorf;1981;1540;1512;1233;400
2023-03-23T23:59:59+01:00;10320;Loretto;512;405;394;330;122
2023-03-23T23:59:59+01:00;10321;Stotzing;830;654;643;533;165
2023-03-23T23:59:59+01:00;10322;Zillingtal;1007;784;776;672;224
2023-03-23T23:59:59+01:00;10323;Zagersdorf;1139;928;915;772;235
2023-03-23T23:59:59+01:00;10401;Bocksdorf;806;653;637;540;139
2023-03-23T23:59:59+01:00;10402;Burgauberg-Neudauberg;1452;995;971;782;263
2023-03-23T23:59:59+01:00;10403;Eberau;919;725;713;621;299
